File,TimeStamp,NBT,NBL
NB_MAY_6.csv,2026/05/06 19:00:00.000,74,3
NB_MAY_6.csv,2026/05/06 19:15:00.000,76,2
NB_MAY_6.csv,2026/05/06 19:30:00.000,61,2
NB_MAY_6.csv,2026/05/06 19:45:00.000,54,3
NB_MAY_6.csv,2026/05/06 20:00:00.000,74,5
NB_MAY_6.csv,2026/05/06 20:15:00.000,65,1
NB_MAY_6.csv,2026/05/06 20:30:00.000,53,2
NB_MAY_6.csv,2026/05/06 20:45:00.000,39,3
NB_MAY_6.csv,2026/05/06 21:00:00.000,47,0
NB_MAY_6.csv,2026/05/06 21:15:00.000,41,0
NB_MAY_6.csv,2026/05/06 21:30:00.000,28,2
NB_MAY_6.csv,2026/05/06 21:45:00.000,29,2
NB_MAY_6.csv,2026/05/06 22:00:00.000,28,2
NB_MAY_6.csv,2026/05/06 22:15:00.000,23,1
NB_MAY_6.csv,2026/05/06 22:30:00.000,7,3
NB_MAY_6.csv,2026/05/06 22:45:00.000,12,0
NB_MAY_7.csv,2026/05/07 00:00:00.000,6,0
NB_MAY_7.csv,2026/05/07 00:15:00.000,10,0
NB_MAY_7.csv,2026/05/07 00:30:00.000,4,0
NB_MAY_7.csv,2026/05/07 00:45:00.000,2,0
NB_MAY_7.csv,2026/05/07 01:00:00.000,5,0
NB_MAY_7.csv,2026/05/07 01:15:00.000,3,0
NB_MAY_7.csv,2026/05/07 01:30:00.000,4,1
NB_MAY_7.csv,2026/05/07 01:45:00.000,5,0
NB_MAY_7.csv,2026/05/07 02:15:00.000,2,0
NB_MAY_7.csv,2026/05/07 02:30:00.000,2,0
NB_MAY_7.csv,2026/05/07 02:45:00.000,6,1
NB_MAY_7.csv,2026/05/07 03:00:00.000,4,1
NB_MAY_7.csv,2026/05/07 03:15:00.000,21,0
NB_MAY_7.csv,2026/05/07 03:30:00.000,9,1
NB_MAY_7.csv,2026/05/07 03:45:00.000,6,0
NB_MAY_7.csv,2026/05/07 04:00:00.000,8,0
NB_MAY_7.csv,2026/05/07 04:15:00.000,17,0
NB_MAY_7.csv,2026/05/07 04:30:00.000,9,0
NB_MAY_7.csv,2026/05/07 04:45:00.000,16,0
NB_MAY_7.csv,2026/05/07 05:00:00.000,8,0
NB_MAY_7.csv,2026/05/07 05:15:00.000,13,0
NB_MAY_7.csv,2026/05/07 05:30:00.000,32,1
NB_MAY_7.csv,2026/05/07 05:45:00.000,37,1
NB_MAY_7.csv,2026/05/07 06:00:00.000,38,0
NB_MAY_7.csv,2026/05/07 06:15:00.000,61,0
NB_MAY_7.csv,2026/05/07 06:30:00.000,76,1
NB_MAY_7.csv,2026/05/07 06:45:00.000,121,3
NB_MAY_7.csv,2026/05/07 07:00:00.000,119,4
NB_MAY_7.csv,2026/05/07 07:15:00.000,150,8
NB_MAY_7.csv,2026/05/07 07:30:00.000,209,15
NB_MAY_7.csv,2026/05/07 07:45:00.000,210,17
NB_MAY_7.csv,2026/05/07 08:00:00.000,159,20
NB_MAY_7.csv,2026/05/07 08:15:00.000,120,22
NB_MAY_7.csv,2026/05/07 08:30:00.000,91,24
NB_MAY_7.csv,2026/05/07 08:45:00.000,102,13
NB_MAY_7.csv,2026/05/07 09:00:00.000,81,6
NB_MAY_7.csv,2026/05/07 09:15:00.000,91,6
NB_MAY_7.csv,2026/05/07 09:30:00.000,107,3
NB_MAY_7.csv,2026/05/07 09:45:00.000,120,4
NB_MAY_7.csv,2026/05/07 10:00:00.000,96,8
NB_MAY_7.csv,2026/05/07 10:15:00.000,85,3
NB_MAY_7.csv,2026/05/07 10:30:00.000,81,5
NB_MAY_7.csv,2026/05/07 10:45:00.000,104,3
NB_MAY_7.csv,2026/05/07 11:00:00.000,123,4
NB_MAY_7.csv,2026/05/07 11:15:00.000,113,7
NB_MAY_7.csv,2026/05/07 11:30:00.000,105,4
NB_MAY_7.csv,2026/05/07 11:45:00.000,114,8
NB_MAY_7.csv,2026/05/07 12:00:00.000,100,12
NB_MAY_7.csv,2026/05/07 12:15:00.000,118,5
NB_MAY_7.csv,2026/05/07 12:30:00.000,113,11
NB_MAY_7.csv,2026/05/07 12:45:00.000,116,10
NB_MAY_7.csv,2026/05/07 13:00:00.000,103,2
NB_MAY_7.csv,2026/05/07 13:15:00.000,95,2
NB_MAY_7.csv,2026/05/07 13:30:00.000,101,3
NB_MAY_7.csv,2026/05/07 13:45:00.000,93,7
NB_MAY_7.csv,2026/05/07 14:00:00.000,116,4
NB_MAY_7.csv,2026/05/07 14:15:00.000,124,5
NB_MAY_7.csv,2026/05/07 14:30:00.000,125,11
NB_MAY_7.csv,2026/05/07 14:45:00.000,102,9
NB_MAY_7.csv,2026/05/07 15:00:00.000,102,7
NB_MAY_7.csv,2026/05/07 15:15:00.000,101,11
NB_MAY_7.csv,2026/05/07 15:30:00.000,116,10
NB_MAY_7.csv,2026/05/07 15:45:00.000,123,9
NB_MAY_7.csv,2026/05/07 16:00:00.000,142,5
NB_MAY_7.csv,2026/05/07 16:15:00.000,135,6
NB_MAY_7.csv,2026/05/07 16:30:00.000,143,4
NB_MAY_7.csv,2026/05/07 16:45:00.000,138,10
NB_MAY_7.csv,2026/05/07 17:00:00.000,142,7
NB_MAY_7.csv,2026/05/07 17:15:00.000,137,1
NB_MAY_7.csv,2026/05/07 17:30:00.000,92,7
NB_MAY_7.csv,2026/05/07 17:45:00.000,135,5
NB_MAY_7.csv,2026/05/07 18:00:00.000,103,3
NB_MAY_7.csv,2026/05/07 18:15:00.000,118,3
NB_MAY_7.csv,2026/05/07 18:30:00.000,97,3
NB_MAY_7.csv,2026/05/07 18:45:00.000,93,2
NB_MAY_7.csv,2026/05/07 19:00:00.000,92,3
NB_MAY_7.csv,2026/05/07 19:15:00.000,81,2
NB_MAY_7.csv,2026/05/07 19:30:00.000,72,1
NB_MAY_7.csv,2026/05/07 19:45:00.000,66,3
NB_MAY_7.csv,2026/05/07 20:00:00.000,76,2
NB_MAY_7.csv,2026/05/07 20:15:00.000,58,2
NB_MAY_7.csv,2026/05/07 20:30:00.000,56,2
NB_MAY_7.csv,2026/05/07 20:45:00.000,43,4
NB_MAY_7.csv,2026/05/07 21:00:00.000,47,1
NB_MAY_7.csv,2026/05/07 21:15:00.000,22,2
NB_MAY_7.csv,2026/05/07 21:30:00.000,33,1
NB_MAY_7.csv,2026/05/07 21:45:00.000,30,1
NB_MAY_7.csv,2026/05/07 22:00:00.000,28,0
NB_MAY_7.csv,2026/05/07 22:15:00.000,19,1
NB_MAY_7.csv,2026/05/07 22:30:00.000,25,1
NB_MAY_7.csv,2026/05/07 22:45:00.000,18,2
NB_MAY_8.csv,2026/05/08 00:00:00.000,9,1
NB_MAY_8.csv,2026/05/08 00:15:00.000,8,0
NB_MAY_8.csv,2026/05/08 00:30:00.000,8,0
NB_MAY_8.csv,2026/05/08 00:45:00.000,5,0
NB_MAY_8.csv,2026/05/08 01:00:00.000,5,0
NB_MAY_8.csv,2026/05/08 01:15:00.000,2,0
NB_MAY_8.csv,2026/05/08 01:30:00.000,4,0
NB_MAY_8.csv,2026/05/08 01:45:00.000,5,0
NB_MAY_8.csv,2026/05/08 02:00:00.000,2,0
NB_MAY_8.csv,2026/05/08 02:15:00.000,4,0
NB_MAY_8.csv,2026/05/08 02:30:00.000,1,0
NB_MAY_8.csv,2026/05/08 02:45:00.000,6,0
NB_MAY_8.csv,2026/05/08 03:00:00.000,6,0
NB_MAY_8.csv,2026/05/08 03:15:00.000,19,2
NB_MAY_8.csv,2026/05/08 03:30:00.000,8,0
NB_MAY_8.csv,2026/05/08 03:45:00.000,5,0
NB_MAY_8.csv,2026/05/08 04:00:00.000,7,0
NB_MAY_8.csv,2026/05/08 04:15:00.000,9,0
NB_MAY_8.csv,2026/05/08 04:30:00.000,14,0
NB_MAY_8.csv,2026/05/08 04:45:00.000,8,0
NB_MAY_8.csv,2026/05/08 05:00:00.000,12,0
NB_MAY_8.csv,2026/05/08 05:15:00.000,18,0
NB_MAY_8.csv,2026/05/08 05:30:00.000,31,1
NB_MAY_8.csv,2026/05/08 05:45:00.000,44,0
NB_MAY_8.csv,2026/05/08 06:00:00.000,25,1
NB_MAY_8.csv,2026/05/08 06:15:00.000,61,2
NB_MAY_8.csv,2026/05/08 06:30:00.000,74,3
NB_MAY_8.csv,2026/05/08 06:45:00.000,78,3
NB_MAY_8.csv,2026/05/08 07:00:00.000,90,3
NB_MAY_8.csv,2026/05/08 07:15:00.000,106,11
NB_MAY_8.csv,2026/05/08 07:30:00.000,146,6
NB_MAY_8.csv,2026/05/08 07:45:00.000,159,11
NB_MAY_8.csv,2026/05/08 08:00:00.000,122,8
NB_MAY_8.csv,2026/05/08 08:15:00.000,98,14
NB_MAY_8.csv,2026/05/08 08:30:00.000,108,8
NB_MAY_8.csv,2026/05/08 08:45:00.000,101,6
NB_MAY_8.csv,2026/05/08 09:00:00.000,115,6
